village,gram_panchayat,tehsil,district,member_list,cfr_boundary_description,cfr_map_attached,khasra_numbers,bordering_villages,frc_formed,gramsabha_meeting_frequency,major_nftps_collected,seasonal_income_forest_percent,forest_condition,fire_incidents_5yrs,water_availability_in_forest,water_supply_coverage,electricity_supply_coverage,road_access_condition
Barwani Tola,GP Bajag,Jobat,Sheopur,No,Boundary segment 5917,No,Khasra 117,Barwani Tola,No,Monthly,Bamboo,6.1,Good,Yes,Medium,Partial,Partial,Moderate
Gondwadi,GP Ghughri,Niwas,Anuppur,No,Boundary segment 5918,No,Khasra 60,Dindori Gaon,No,Monthly,Multiple,38.39,Good,Yes,Low,None,None,Poor
Mandla Pur,GP Niwas,Pali,Umaria,No,Boundary segment 5919,Yes,Khasra 442,Sheopur Pada,Yes,Rare,Tendu Leaves,73.43,Degraded,Yes,Low,Partial,None,Moderate
Barwani Tola,GP Bajag,Pati,Alirajpur,No,Boundary segment 5920,No,Khasra 53,Barwani Tola,Yes,Monthly,Multiple,55.3,Good,No,Medium,None,Full,Poor
Barwani Tola,GP Ghughri,Pati,Alirajpur,Yes,Boundary segment 5921,No,Khasra 14,Mandla Pur,No,Monthly,Mahua,12.31,Moderate,Yes,Low,Full,Partial,Moderate
Korku Pada,GP Ghughri,Sendhwa,Barwani,Yes,Boundary segment 5922,No,Khasra 58,Bhilapur,No,Rare,Mahua,35.92,Good,Yes,Low,None,Full,Good
Baiga Chak,GP Pushparajgarh,Pati,Barwani,Yes,Boundary segment 5923,No,Khasra 354,Dindori Gaon,Yes,Monthly,Bamboo,26.72,Moderate,No,Medium,Partial,Partial,Good
Bhilapur,GP Pushparajgarh,Ghughri,Jhabua,Yes,Boundary segment 5924,Yes,Khasra 497,Sheopur Pada,No,Monthly,Bamboo,50.45,Degraded,No,Low,Partial,Partial,Good
Baiga Chak,GP Pati,Pati,Barwani,No,Boundary segment 5925,Yes,Khasra 65,Barwani Tola,No,Rare,Tendu Leaves,56.37,Moderate,No,High,Full,Partial,Moderate
Gondwadi,GP Ghughri,Jobat,Alirajpur,Yes,Boundary segment 5926,No,Khasra 269,Gondwadi,No,Rare,Lac,21.44,Moderate,No,Low,Full,Full,Good
Mandla Pur,GP Jobat,Jobat,Barwani,Yes,Boundary segment 5927,No,Khasra 356,Barwani Tola,Yes,Monthly,Tendu Leaves,12.94,Moderate,Yes,Low,Partial,Full,Good
Alirajpur Falia,GP Niwas,Jobat,Alirajpur,Yes,Boundary segment 5928,Yes,Khasra 220,Dindori Gaon,No,Monthly,Mahua,57.91,Moderate,Yes,Medium,Partial,Full,Good
Korku Pada,GP Pati,Jobat,Mandla,No,Boundary segment 5929,No,Khasra 393,Korku Pada,Yes,Quarterly,Tendu Leaves,71.62,Degraded,Yes,Medium,None,None,Poor
Jhabua Kheda,GP Pati,Pali,Umaria,Yes,Boundary segment 5930,No,Khasra 47,Mandla Pur,Yes,Rare,Multiple,71.7,Good,Yes,Low,None,None,Poor
Barwani Tola,GP Bajag,Ghughri,Sheopur,No,Boundary segment 5931,No,Khasra 376,Baiga Chak,Yes,Monthly,Honey,37.04,Degraded,Yes,Low,Partial,Partial,Moderate
Barwani Tola,GP Pushparajgarh,Ghughri,Umaria,No,Boundary segment 5932,No,Khasra 349,Baiga Chak,Yes,Rare,Lac,60.01,Moderate,Yes,High,Partial,None,Good
Mandla Pur,GP Pati,Ghughri,Alirajpur,No,Boundary segment 5933,No,Khasra 447,Sheopur Pada,No,Rare,Multiple,9.81,Moderate,No,Low,Partial,Full,Moderate
Jhabua Kheda,GP Jobat,Bajag,Barwani,No,Boundary segment 5934,No,Khasra 91,Korku Pada,No,Monthly,Honey,9.44,Moderate,Yes,Medium,Partial,None,Good
Sheopur Pada,GP Pushparajgarh,Pali,Umaria,No,Boundary segment 5935,No,Khasra 456,Jhabua Kheda,Yes,Quarterly,Tendu Leaves,17.23,Good,Yes,Medium,Full,Partial,Poor
Mandla Pur,GP Ghughri,Pali,Anuppur,No,Boundary segment 5936,No,Khasra 30,Jhabua Kheda,No,Quarterly,Bamboo,70.86,Moderate,No,Medium,Full,Full,Moderate
Dindori Gaon,GP Pati,Pali,Anuppur,No,Boundary segment 5937,No,Khasra 264,Korku Pada,Yes,Rare,Honey,61.85,Degraded,No,Medium,Full,None,Poor
Dindori Gaon,GP Bajag,Bajag,Anuppur,No,Boundary segment 5938,No,Khasra 149,Jhabua Kheda,No,Monthly,Bamboo,69.55,Moderate,Yes,Low,Full,Partial,Good
Baiga Chak,GP Pushparajgarh,Pati,Alirajpur,No,Boundary segment 5939,Yes,Khasra 148,Sheopur Pada,Yes,Rare,Lac,9.14,Degraded,Yes,High,Partial,Partial,Moderate
Korku Pada,GP Ghughri,Bajag,Sheopur,Yes,Boundary segment 5940,Yes,Khasra 124,Jhabua Kheda,Yes,Monthly,Honey,25.39,Degraded,Yes,High,Partial,Full,Poor
Sheopur Pada,GP Ghughri,Jobat,Barwani,No,Boundary segment 5941,No,Khasra 362,Barwani Tola,Yes,Quarterly,Honey,61.72,Good,No,High,Full,Full,Moderate
Mandla Pur,GP Pati,Ghughri,Mandla,No,Boundary segment 5942,No,Khasra 14,Gondwadi,Yes,Rare,Honey,4.64,Moderate,No,Low,Full,Full,Good
Mandla Pur,GP Niwas,Pali,Barwani,Yes,Boundary segment 5943,No,Khasra 86,Baiga Chak,No,Quarterly,Lac,28.77,Good,No,High,Full,Full,Poor
Baiga Chak,GP Jobat,Niwas,Barwani,No,Boundary segment 5944,Yes,Khasra 434,Alirajpur Falia,No,Rare,Mahua,11.12,Degraded,Yes,Low,Partial,Partial,Moderate
Barwani Tola,GP Bajag,Pati,Umaria,Yes,Boundary segment 5945,Yes,Khasra 414,Jhabua Kheda,Yes,Quarterly,Multiple,39.8,Moderate,Yes,Medium,None,Full,Moderate
Jhabua Kheda,GP Pati,Ghughri,Umaria,No,Boundary segment 5946,No,Khasra 342,Dindori Gaon,Yes,Quarterly,Mahua,1.6,Moderate,Yes,Medium,None,Partial,Poor
Barwani Tola,GP Bajag,Bajag,Dindori,No,Boundary segment 5947,Yes,Khasra 58,Mandla Pur,Yes,Monthly,Tendu Leaves,29.48,Good,No,Medium,None,Partial,Good
Baiga Chak,GP Pati,Bajag,Jhabua,No,Boundary segment 5948,No,Khasra 232,Alirajpur Falia,No,Monthly,Lac,60.64,Good,No,Medium,Partial,Partial,Good
Baiga Chak,GP Bajag,Pati,Dindori,No,Boundary segment 5949,No,Khasra 54,Sheopur Pada,Yes,Rare,Tendu Leaves,24.93,Degraded,No,Low,Partial,Full,Good
Alirajpur Falia,GP Jobat,Niwas,Barwani,Yes,Boundary segment 5950,Yes,Khasra 384,Dindori Gaon,No,Quarterly,Lac,4.04,Moderate,No,Medium,Partial,Partial,Moderate
Alirajpur Falia,GP Bajag,Sendhwa,Anuppur,Yes,Boundary segment 5951,No,Khasra 497,Gondwadi,No,Rare,Multiple,64.61,Good,No,Medium,Full,Partial,Poor
Dindori Gaon,GP Pushparajgarh,Pati,Dindori,Yes,Boundary segment 5952,Yes,Khasra 481,Baiga Chak,Yes,Monthly,Multiple,69.61,Good,Yes,Medium,Partial,None,Moderate
Bhilapur,GP Ghughri,Pali,Mandla,No,Boundary segment 5953,No,Khasra 143,Barwani Tola,No,Rare,Bamboo,65.31,Good,No,Low,Full,Partial,Good
Gondwadi,GP Bajag,Pali,Alirajpur,Yes,Boundary segment 5954,Yes,Khasra 146,Alirajpur Falia,No,Rare,Lac,44.41,Good,Yes,High,Partial,None,Poor
Baiga Chak,GP Niwas,Niwas,Barwani,No,Boundary segment 5955,Yes,Khasra 38,Jhabua Kheda,No,Monthly,Mahua,14.09,Moderate,Yes,Low,None,Partial,Moderate
Sheopur Pada,GP Niwas,Jobat,Anuppur,No,Boundary segment 5956,No,Khasra 107,Korku Pada,No,Monthly,Lac,57.57,Moderate,No,High,None,None,Poor
Barwani Tola,GP Bajag,Pati,Umaria,Yes,Boundary segment 5957,Yes,Khasra 379,Dindori Gaon,No,Rare,Bamboo,74.43,Degraded,No,High,Full,Partial,Good
Barwani Tola,GP Niwas,Pali,Sheopur,No,Boundary segment 5958,Yes,Khasra 366,Bhilapur,Yes,Quarterly,Bamboo,34.96,Moderate,Yes,Low,Partial,Partial,Good
Sheopur Pada,GP Pati,Bajag,Jhabua,No,Boundary segment 5959,No,Khasra 63,Korku Pada,Yes,Monthly,Tendu Leaves,8.94,Good,No,Low,Full,Partial,Poor
Sheopur Pada,GP Ghughri,Sendhwa,Jhabua,Yes,Boundary segment 5960,Yes,Khasra 394,Mandla Pur,No,Rare,Honey,68.98,Degraded,No,High,Full,Full,Poor
Korku Pada,GP Niwas,Sendhwa,Mandla,No,Boundary segment 5961,No,Khasra 214,Gondwadi,No,Rare,Bamboo,28.44,Degraded,Yes,Low,Full,Full,Good
Sheopur Pada,GP Niwas,Bajag,Jhabua,No,Boundary segment 5962,Yes,Khasra 151,Barwani Tola,No,Monthly,Tendu Leaves,26.45,Degraded,No,Medium,None,Full,Moderate
Mandla Pur,GP Niwas,Pati,Barwani,No,Boundary segment 5963,Yes,Khasra 336,Baiga Chak,Yes,Rare,Mahua,71.25,Degraded,Yes,Low,None,Partial,Poor
Gondwadi,GP Bajag,Pali,Barwani,Yes,Boundary segment 5964,No,Khasra 214,Jhabua Kheda,Yes,Quarterly,Mahua,36.36,Degraded,No,High,Partial,Partial,Moderate
Alirajpur Falia,GP Niwas,Bajag,Jhabua,Yes,Boundary segment 5965,Yes,Khasra 421,Dindori Gaon,No,Quarterly,Honey,27.14,Degraded,Yes,High,None,Full,Good
Baiga Chak,GP Niwas,Niwas,Barwani,No,Boundary segment 5966,Yes,Khasra 465,Sheopur Pada,Yes,Quarterly,Bamboo,22.04,Degraded,No,High,Partial,Partial,Good
Dindori Gaon,GP Pati,Pati,Mandla,No,Boundary segment 5967,No,Khasra 265,Baiga Chak,Yes,Rare,Mahua,16.73,Degraded,No,High,Partial,None,Good
Mandla Pur,GP Niwas,Ghughri,Barwani,No,Boundary segment 5968,Yes,Khasra 123,Mandla Pur,No,Monthly,Lac,57.73,Degraded,No,High,Partial,Full,Poor
Baiga Chak,GP Niwas,Sendhwa,Umaria,No,Boundary segment 5969,Yes,Khasra 272,Sheopur Pada,No,Monthly,Honey,79.76,Moderate,No,Low,None,Partial,Moderate
Korku Pada,GP Pushparajgarh,Ghughri,Jhabua,Yes,Boundary segment 5970,Yes,Khasra 408,Bhilapur,No,Rare,Mahua,27.84,Degraded,Yes,Medium,None,Partial,Moderate
Korku Pada,GP Ghughri,Pati,Anuppur,No,Boundary segment 5971,No,Khasra 18,Bhilapur,No,Monthly,Mahua,74.56,Moderate,Yes,Low,None,None,Poor
Dindori Gaon,GP Pati,Sendhwa,Alirajpur,No,Boundary segment 5972,No,Khasra 210,Bhilapur,No,Rare,Bamboo,8.97,Moderate,Yes,Low,Partial,Full,Moderate
Alirajpur Falia,GP Pati,Ghughri,Alirajpur,No,Boundary segment 5973,No,Khasra 167,Alirajpur Falia,Yes,Rare,Mahua,13.13,Good,Yes,Low,Partial,Full,Good
Alirajpur Falia,GP Bajag,Bajag,Barwani,Yes,Boundary segment 5974,Yes,Khasra 290,Sheopur Pada,No,Rare,Tendu Leaves,73.97,Degraded,Yes,High,Partial,None,Good
Barwani Tola,GP Niwas,Bajag,Mandla,Yes,Boundary segment 5975,Yes,Khasra 308,Sheopur Pada,Yes,Monthly,Tendu Leaves,5.27,Good,Yes,High,Partial,Full,Poor
Bhilapur,GP Pushparajgarh,Pali,Umaria,No,Boundary segment 5976,Yes,Khasra 10,Bhilapur,Yes,Rare,Honey,15.4,Moderate,Yes,Low,Partial,None,Poor
Sheopur Pada,GP Bajag,Niwas,Umaria,No,Boundary segment 5977,No,Khasra 27,Bhilapur,Yes,Quarterly,Mahua,50.4,Good,Yes,High,None,Partial,Good
Alirajpur Falia,GP Pushparajgarh,Ghughri,Mandla,Yes,Boundary segment 5978,No,Khasra 331,Mandla Pur,No,Rare,Multiple,0.91,Moderate,Yes,High,Partial,None,Good
Sheopur Pada,GP Bajag,Jobat,Alirajpur,No,Boundary segment 5979,No,Khasra 182,Mandla Pur,No,Quarterly,Tendu Leaves,36.33,Good,No,High,Full,None,Moderate
Alirajpur Falia,GP Pati,Niwas,Alirajpur,Yes,Boundary segment 5980,Yes,Khasra 141,Barwani Tola,Yes,Rare,Tendu Leaves,3.51,Moderate,Yes,Low,Full,None,Poor
Sheopur Pada,GP Niwas,Niwas,Mandla,Yes,Boundary segment 5981,No,Khasra 155,Gondwadi,Yes,Quarterly,Honey,67.95,Good,Yes,Low,Partial,Partial,Moderate
Baiga Chak,GP Ghughri,Niwas,Dindori,No,Boundary segment 5982,Yes,Khasra 147,Alirajpur Falia,No,Rare,Lac,12.96,Degraded,No,Medium,Partial,None,Poor
Korku Pada,GP Niwas,Pali,Barwani,Yes,Boundary segment 5983,No,Khasra 199,Dindori Gaon,Yes,Quarterly,Honey,69.54,Degraded,Yes,Low,Partial,Partial,Moderate
Barwani Tola,GP Niwas,Bajag,Barwani,No,Boundary segment 5984,No,Khasra 221,Dindori Gaon,No,Monthly,Bamboo,51.2,Moderate,Yes,Medium,Full,None,Good
Baiga Chak,GP Ghughri,Pali,Dindori,Yes,Boundary segment 5985,No,Khasra 294,Barwani Tola,No,Quarterly,Tendu Leaves,45.71,Good,No,High,Partial,Partial,Moderate
Mandla Pur,GP Pushparajgarh,Pali,Sheopur,Yes,Boundary segment 5986,No,Khasra 58,Barwani Tola,Yes,Quarterly,Tendu Leaves,8.01,Moderate,Yes,High,Full,Partial,Poor
Sheopur Pada,GP Jobat,Jobat,Alirajpur,Yes,Boundary segment 5987,Yes,Khasra 251,Mandla Pur,Yes,Quarterly,Honey,60.84,Good,No,High,Partial,Partial,Good
Bhilapur,GP Ghughri,Jobat,Barwani,Yes,Boundary segment 5988,Yes,Khasra 64,Barwani Tola,No,Monthly,Honey,65.62,Degraded,No,Low,Partial,Partial,Poor
Jhabua Kheda,GP Ghughri,Pati,Jhabua,Yes,Boundary segment 5989,No,Khasra 495,Alirajpur Falia,Yes,Rare,Lac,39.17,Good,No,Medium,Full,Partial,Poor
Bhilapur,GP Pati,Ghughri,Jhabua,Yes,Boundary segment 5990,Yes,Khasra 390,Korku Pada,Yes,Quarterly,Tendu Leaves,36.28,Moderate,Yes,Medium,Partial,Partial,Poor
Gondwadi,GP Pati,Niwas,Alirajpur,No,Boundary segment 5991,No,Khasra 269,Gondwadi,Yes,Rare,Lac,2.92,Degraded,Yes,Low,Partial,None,Good
Alirajpur Falia,GP Pati,Pati,Barwani,Yes,Boundary segment 5992,No,Khasra 47,Dindori Gaon,Yes,Quarterly,Tendu Leaves,38.81,Good,No,Medium,Full,Partial,Good
Korku Pada,GP Jobat,Pali,Alirajpur,No,Boundary segment 5993,Yes,Khasra 65,Bhilapur,Yes,Monthly,Mahua,70.32,Moderate,Yes,Medium,None,Partial,Good
Sheopur Pada,GP Pati,Sendhwa,Jhabua,No,Boundary segment 5994,Yes,Khasra 476,Bhilapur,Yes,Monthly,Lac,1.97,Moderate,Yes,High,None,Partial,Poor
Dindori Gaon,GP Jobat,Pati,Umaria,Yes,Boundary segment 5995,Yes,Khasra 98,Korku Pada,Yes,Monthly,Honey,50.29,Degraded,Yes,Low,Partial,Full,Poor
Alirajpur Falia,GP Bajag,Ghughri,Anuppur,No,Boundary segment 5996,Yes,Khasra 155,Baiga Chak,No,Rare,Lac,77.59,Moderate,No,Low,None,Full,Moderate
Jhabua Kheda,GP Pati,Pali,Barwani,No,Boundary segment 5997,No,Khasra 477,Barwani Tola,No,Quarterly,Honey,69.07,Degraded,No,Medium,None,None,Poor
Mandla Pur,GP Pushparajgarh,Sendhwa,Barwani,Yes,Boundary segment 5998,No,Khasra 64,Korku Pada,No,Quarterly,Honey,78.35,Moderate,No,High,None,Partial,Good
Mandla Pur,GP Pati,Pali,Umaria,Yes,Boundary segment 5999,Yes,Khasra 86,Gondwadi,No,Rare,Honey,47.22,Degraded,Yes,Low,Full,Full,Poor
Baiga Chak,GP Bajag,Pali,Umaria,Yes,Boundary segment 6000,No,Khasra 237,Korku Pada,No,Rare,Honey,21.47,Good,Yes,Low,Full,Full,Poor
Sheopur Pada,GP Jobat,Jobat,Barwani,No,Boundary segment 6001,Yes,Khasra 273,Sheopur Pada,No,Quarterly,Bamboo,19.3,Degraded,Yes,Low,Partial,Partial,Moderate
Barwani Tola,GP Pati,Niwas,Umaria,No,Boundary segment 6002,No,Khasra 139,Bhilapur,Yes,Monthly,Lac,30.21,Degraded,Yes,Medium,Partial,Full,Moderate
Alirajpur Falia,GP Jobat,Niwas,Dindori,No,Boundary segment 6003,Yes,Khasra 476,Alirajpur Falia,No,Monthly,Bamboo,72.26,Moderate,No,Medium,Partial,None,Poor
Sheopur Pada,GP Ghughri,Bajag,Umaria,Yes,Boundary segment 6004,Yes,Khasra 180,Bhilapur,Yes,Rare,Lac,31.35,Good,No,Medium,Partial,Partial,Moderate
Korku Pada,GP Pushparajgarh,Bajag,Umaria,Yes,Boundary segment 6005,No,Khasra 342,Baiga Chak,Yes,Rare,Multiple,5.43,Good,No,Medium,None,None,Good
Jhabua Kheda,GP Ghughri,Pati,Alirajpur,Yes,Boundary segment 6006,No,Khasra 86,Baiga Chak,Yes,Rare,Mahua,69.18,Degraded,No,Low,None,Partial,Moderate
Bhilapur,GP Pushparajgarh,Jobat,Barwani,Yes,Boundary segment 6007,Yes,Khasra 57,Alirajpur Falia,No,Monthly,Mahua,3.01,Degraded,Yes,High,Full,None,Moderate
Baiga Chak,GP Niwas,Niwas,Dindori,Yes,Boundary segment 6008,No,Khasra 2,Alirajpur Falia,Yes,Monthly,Mahua,68.16,Moderate,No,Medium,None,Full,Moderate
Korku Pada,GP Bajag,Sendhwa,Mandla,No,Boundary segment 6009,Yes,Khasra 278,Bhilapur,No,Monthly,Mahua,9.2,Degraded,Yes,Medium,Full,None,Good
Korku Pada,GP Ghughri,Pati,Sheopur,Yes,Boundary segment 6010,Yes,Khasra 90,Korku Pada,No,Rare,Bamboo,45.41,Degraded,Yes,Low,None,Partial,Good
Mandla Pur,GP Pushparajgarh,Jobat,Mandla,Yes,Boundary segment 6011,No,Khasra 397,Alirajpur Falia,No,Rare,Honey,25.87,Degraded,No,Medium,Full,None,Poor
Bhilapur,GP Ghughri,Pati,Alirajpur,Yes,Boundary segment 6012,Yes,Khasra 368,Barwani Tola,No,Monthly,Tendu Leaves,66.28,Degraded,No,Low,Full,Partial,Poor
Dindori Gaon,GP Bajag,Niwas,Jhabua,No,Boundary segment 6013,Yes,Khasra 103,Korku Pada,No,Quarterly,Lac,54.73,Degraded,No,High,Full,Full,Moderate
Dindori Gaon,GP Pati,Niwas,Dindori,Yes,Boundary segment 6014,Yes,Khasra 150,Korku Pada,No,Rare,Honey,35.64,Degraded,Yes,High,Full,None,Moderate
Baiga Chak,GP Niwas,Ghughri,Anuppur,Yes,Boundary segment 6015,Yes,Khasra 238,Jhabua Kheda,Yes,Quarterly,Tendu Leaves,28.89,Moderate,No,High,Partial,Partial,Moderate
Mandla Pur,GP Niwas,Jobat,Anuppur,Yes,Boundary segment 6016,Yes,Khasra 496,Sheopur Pada,No,Rare,Mahua,66.82,Moderate,Yes,Medium,None,Full,Moderate
Korku Pada,GP Bajag,Pali,Jhabua,Yes,Boundary segment 6017,No,Khasra 8,Bhilapur,No,Quarterly,Bamboo,12.17,Good,Yes,High,None,Partial,Moderate
Alirajpur Falia,GP Bajag,Ghughri,Mandla,Yes,Boundary segment 6018,Yes,Khasra 21,Dindori Gaon,Yes,Rare,Mahua,10.9,Moderate,No,Low,Partial,Partial,Good
Dindori Gaon,GP Pushparajgarh,Bajag,Mandla,No,Boundary segment 6019,Yes,Khasra 361,Sheopur Pada,Yes,Quarterly,Tendu Leaves,58.04,Good,Yes,High,Partial,Partial,Good
Korku Pada,GP Pushparajgarh,Pali,Jhabua,No,Boundary segment 6020,No,Khasra 255,Barwani Tola,Yes,Quarterly,Tendu Leaves,18.19,Moderate,Yes,High,Partial,Partial,Moderate
Mandla Pur,GP Niwas,Pali,Anuppur,No,Boundary segment 6021,Yes,Khasra 13,Gondwadi,Yes,Rare,Bamboo,11.37,Moderate,Yes,Low,Full,None,Moderate
Barwani Tola,GP Jobat,Pati,Sheopur,No,Boundary segment 6022,Yes,Khasra 300,Gondwadi,No,Monthly,Multiple,71.94,Good,Yes,Medium,Full,Partial,Moderate
Sheopur Pada,GP Niwas,Pali,Barwani,Yes,Boundary segment 6023,Yes,Khasra 327,Alirajpur Falia,Yes,Rare,Tendu Leaves,72.1,Good,No,High,Partial,Full,Moderate
Baiga Chak,GP Niwas,Bajag,Alirajpur,No,Boundary segment 6024,Yes,Khasra 428,Barwani Tola,No,Rare,Honey,18.27,Moderate,Yes,High,None,Full,Poor
Korku Pada,GP Bajag,Bajag,Dindori,No,Boundary segment 6025,Yes,Khasra 252,Jhabua Kheda,Yes,Rare,Lac,11.07,Moderate,No,Low,Partial,Partial,Poor
Dindori Gaon,GP Jobat,Ghughri,Sheopur,Yes,Boundary segment 6026,No,Khasra 437,Barwani Tola,No,Quarterly,Multiple,54.9,Good,No,Medium,None,None,Poor
Barwani Tola,GP Bajag,Niwas,Anuppur,No,Boundary segment 6027,Yes,Khasra 482,Gondwadi,No,Monthly,Honey,9.22,Moderate,No,Low,Full,None,Poor
Jhabua Kheda,GP Bajag,Jobat,Alirajpur,No,Boundary segment 6028,Yes,Khasra 242,Baiga Chak,Yes,Rare,Lac,28.9,Degraded,No,Low,Full,Partial,Good
Dindori Gaon,GP Bajag,Ghughri,Umaria,Yes,Boundary segment 6029,Yes,Khasra 299,Jhabua Kheda,Yes,Rare,Mahua,73.87,Degraded,No,Medium,Partial,Full,Moderate
Korku Pada,GP Ghughri,Niwas,Alirajpur,No,Boundary segment 6030,Yes,Khasra 195,Jhabua Kheda,Yes,Quarterly,Multiple,21.87,Good,No,High,Full,Full,Poor
Bhilapur,GP Niwas,Ghughri,Sheopur,Yes,Boundary segment 6031,Yes,Khasra 420,Dindori Gaon,Yes,Rare,Multiple,31.37,Degraded,Yes,High,Partial,None,Moderate
Dindori Gaon,GP Ghughri,Bajag,Dindori,Yes,Boundary segment 6032,No,Khasra 309,Sheopur Pada,Yes,Rare,Bamboo,7.6,Moderate,No,Medium,None,Full,Moderate
Jhabua Kheda,GP Ghughri,Niwas,Dindori,No,Boundary segment 6033,No,Khasra 218,Dindori Gaon,Yes,Quarterly,Tendu Leaves,59.82,Degraded,No,Medium,None,None,Moderate
Baiga Chak,GP Pushparajgarh,Jobat,Barwani,Yes,Boundary segment 6034,Yes,Khasra 97,Baiga Chak,Yes,Rare,Tendu Leaves,53.82,Degraded,Yes,Low,None,None,Good
Jhabua Kheda,GP Pushparajgarh,Bajag,Sheopur,Yes,Boundary segment 6035,Yes,Khasra 222,Dindori Gaon,Yes,Monthly,Multiple,37.67,Good,No,High,None,None,Moderate
Baiga Chak,GP Jobat,Ghughri,Anuppur,No,Boundary segment 6036,Yes,Khasra 216,Alirajpur Falia,Yes,Quarterly,Mahua,22.78,Good,Yes,Low,Partial,Partial,Moderate
Baiga Chak,GP Bajag,Bajag,Sheopur,No,Boundary segment 6037,Yes,Khasra 477,Alirajpur Falia,Yes,Monthly,Tendu Leaves,44.46,Moderate,No,High,Partial,Partial,Poor
Alirajpur Falia,GP Bajag,Ghughri,Sheopur,Yes,Boundary segment 6038,No,Khasra 472,Jhabua Kheda,Yes,Rare,Multiple,58.47,Moderate,No,Medium,Partial,Full,Good
Barwani Tola,GP Pati,Pali,Mandla,Yes,Boundary segment 6039,No,Khasra 170,Korku Pada,No,Rare,Bamboo,59.52,Good,No,Medium,None,None,Poor
Dindori Gaon,GP Niwas,Ghughri,Umaria,No,Boundary segment 6040,Yes,Khasra 117,Barwani Tola,No,Rare,Bamboo,22.71,Moderate,Yes,Low,None,Full,Moderate
Dindori Gaon,GP Niwas,Ghughri,Sheopur,Yes,Boundary segment 6041,Yes,Khasra 139,Mandla Pur,No,Monthly,Honey,2.97,Moderate,Yes,Medium,None,Full,Moderate
Sheopur Pada,GP Jobat,Bajag,Mandla,Yes,Boundary segment 6042,No,Khasra 94,Mandla Pur,No,Quarterly,Lac,27.24,Degraded,No,Low,Partial,Partial,Good
Barwani Tola,GP Pati,Ghughri,Dindori,Yes,Boundary segment 6043,No,Khasra 256,Baiga Chak,Yes,Rare,Honey,48.36,Moderate,Yes,Medium,Partial,Full,Good
Alirajpur Falia,GP Niwas,Ghughri,Dindori,Yes,Boundary segment 6044,Yes,Khasra 26,Baiga Chak,Yes,Rare,Mahua,60.63,Good,Yes,High,Full,None,Good
Gondwadi,GP Bajag,Bajag,Anuppur,Yes,Boundary segment 6045,Yes,Khasra 281,Dindori Gaon,No,Quarterly,Multiple,77.42,Moderate,No,Low,Full,Partial,Moderate
Baiga Chak,GP Ghughri,Jobat,Jhabua,Yes,Boundary segment 6046,No,Khasra 375,Bhilapur,Yes,Rare,Tendu Leaves,65.54,Good,No,High,None,Full,Poor
Baiga Chak,GP Pushparajgarh,Sendhwa,Barwani,No,Boundary segment 6047,Yes,Khasra 4,Bhilapur,No,Quarterly,Mahua,23.82,Degraded,Yes,Low,Full,None,Poor
Jhabua Kheda,GP Ghughri,Ghughri,Jhabua,No,Boundary segment 6048,No,Khasra 413,Sheopur Pada,No,Quarterly,Tendu Leaves,41.08,Moderate,Yes,High,Partial,Partial,Good
Gondwadi,GP Pushparajgarh,Niwas,Alirajpur,No,Boundary segment 6049,No,Khasra 9,Baiga Chak,No,Quarterly,Tendu Leaves,59.21,Degraded,Yes,High,Full,Partial,Good
Korku Pada,GP Jobat,Bajag,Sheopur,No,Boundary segment 6050,Yes,Khasra 310,Sheopur Pada,No,Monthly,Lac,4.4,Good,No,Medium,None,Full,Moderate
Alirajpur Falia,GP Pushparajgarh,Bajag,Anuppur,Yes,Boundary segment 6051,Yes,Khasra 463,Sheopur Pada,Yes,Rare,Bamboo,56.9,Moderate,No,Medium,Full,Full,Moderate
Alirajpur Falia,GP Pushparajgarh,Pali,Alirajpur,No,Boundary segment 6052,No,Khasra 404,Dindori Gaon,Yes,Rare,Honey,1.53,Moderate,Yes,Low,Partial,Partial,Poor
Jhabua Kheda,GP Pati,Pali,Barwani,Yes,Boundary segment 6053,No,Khasra 383,Korku Pada,Yes,Rare,Lac,46.53,Moderate,Yes,Low,Full,Partial,Poor
Baiga Chak,GP Pati,Pati,Sheopur,Yes,Boundary segment 6054,No,Khasra 394,Sheopur Pada,Yes,Rare,Tendu Leaves,64.83,Moderate,Yes,Medium,None,Partial,Poor
Barwani Tola,GP Ghughri,Pali,Jhabua,Yes,Boundary segment 6055,No,Khasra 346,Dindori Gaon,Yes,Quarterly,Mahua,78.38,Good,No,Low,Full,None,Moderate
Gondwadi,GP Niwas,Ghughri,Mandla,Yes,Boundary segment 6056,Yes,Khasra 209,Dindori Gaon,Yes,Quarterly,Multiple,26.72,Good,Yes,Medium,None,None,Moderate
Barwani Tola,GP Ghughri,Pali,Umaria,Yes,Boundary segment 6057,Yes,Khasra 105,Baiga Chak,No,Rare,Tendu Leaves,12.98,Degraded,Yes,Low,Partial,Full,Poor
Gondwadi,GP Niwas,Pali,Dindori,Yes,Boundary segment 6058,Yes,Khasra 170,Jhabua Kheda,No,Quarterly,Honey,18.57,Good,No,Low,Partial,Full,Poor
Gondwadi,GP Pushparajgarh,Pali,Barwani,Yes,Boundary segment 6059,Yes,Khasra 125,Barwani Tola,Yes,Quarterly,Bamboo,3.25,Moderate,Yes,High,Partial,None,Moderate
